topic: 美国暴力执法，黑人遭枪击，身中20枪，身亡。
我也想看。。 1
这个不是美剧吗？ 1
这么惨，你们还好吗 1
你这样的人真的不能生活在国内吗？ 1
这是哪个国家的事 1
不是这么说，这些人都是自私的 1
这样的人，真可怕，我也是醉了 1
你说这些人是不是有点傻 1
我们国家不是这样子的 1
我看你是不是在看新闻 1
不会吧。。。。 1
哈哈，你好幽默 1
你是不是也是这样想的，这是一个社会的常识，这样不是很好吗？ 1
这种新闻就不要传播了吧 1
你说的是你吧 1
我不是黑人。。 1
哈哈哈你是真的皮 1
这种事情，还有脸说 1
这种事情你还是去做好，别在这里说风凉话。 1
哈哈哈哈哈哈哈哈哈哈笑死 1
你不是人吗？ 1
不会吧？你怎么知道的？ 1
不会吧？你看到了？ 1
这么严重！ 1
你不会看新闻吗？ 1
我也是看到这个新闻才关注下来 1
不要说的这么严重 1
不要这么严重好吧 1
你这样说话真的好吗？我也觉得不好 1
你的意思是黑人也有暴力执法？？？你这是在黑人身上找问题吗？ 1
这是哪里？ 1
我们这里也是 1
这种事情我们国家不管吗 1
我觉得这事不能怪我们，是我们自己没有注意安全，我们要做的就是不要 1
你是怎么看出美国的暴力执法的？ 1
你这样的人，你是不是不能出国 1
你是不是有点偏激 1
你是不是傻，那么多枪，你怎么不去打 1
我也看到这新闻了 1
你是不是傻？！ 1
你的思维真是跳跃啊！ 1
哈哈哈！ 1
你说的很有道理 1
你说的这个是哪国？ 1
你这个是什么意思啊？ 1
你说话太难听了 1
这么恐怖？ 1
你这样说话，你的良心不会痛吗 1
你的意思是黑人遭枪击了？？？ 1
这个不好说。。但也不是全部。。 1
你这么说就有失偏颇了吧？ 1
我觉得你这样不太好 1
你是不是在国内 1
我也要报警了 1
哈哈哈哈，我也是，我还在等 1
你这是在搞事情啊 1
不是黑人就好 1
这个是什么梗 1
你这么厉害，你去啊 1
这是什么电视剧？ 1
我也觉得这事儿不能怪我啊 1
哈哈哈哈哈哈哈哈哈哈哈哈，我看到这里笑死了 1
你不知道吗？ 1
你说得很好，但是我还是想说你说的很好，但是我还是想说 1
哈哈，我也想到这个。 1
你这是在搞什么？ 1
这个好笑么？ 1
我也觉得是黑人。 1
不能再多了，你看到的全是真的吗？ 1
你这是什么逻辑啊 1
你这是在说我吗 1
你的脑回路好奇怪 1
不是这个意思。我是说我身份证上写的。 1
不会的，他们不会死的 1
你说的是哪个方向？ 1
哈哈哈哈哈哈你是不是想笑死我 1
你这样说话，我真的好想举报 1
我们的目标是？ 1
你这种人真是没素质。你要是这种心肠，你也是个垃圾， 1
哈哈哈你也是个小可怜 1
我看到了，我们要保护好自己，我们的国家 1
我看到的就是这样 1
你这是要搞事情 1
你是在说你吗？ 1
你说得对，你说的对 1
你的意思是黑人遭枪击，身亡？ 1
你不会说的是这个吧 1
我也是这样想的 1
不要太过分 1
我觉得你说的很有道理，但是这种情况下你应该怎么处理？ 1
这是什么电视剧啊 1
我不是说你 1
这样说话的人，我也不会说什么好话 1
不要以偏概全，我们国家没有这样的事，只是我们国家的政策问题 1
我也是，这么一个人，这么多年，我还不了解，我还以为自己是神。 1
你这么有才，你怎么不去当编剧啊。 1
哈哈哈哈哈哈哈哈你这是在干啥 1
你说的这个我也看过 1
我不知道，但我想到的是，我是黑人，但我不想杀他。 1
这样说来，你也是黑人啊 1
我不信 1
你是说现场吧？ 1
你这个人说话真恶毒。 1
你是哪位 1
你说这种话就是你们国家的问题了 1
我觉得这种事情还是不要做了吧。毕竟人都有害怕的时候 1
你不会看的，我是看过 1
这是一个悲伤的故事 1
你这样一说我也好想看了 1
哈哈哈哈哈哈哈哈哈哈哈，笑出声 1
哈哈哈，你太可爱了，哈哈哈哈 1
我看你是不是也想挨枪 1
这样的情况，你怎么办？ 1
不是吧。。。。 1
不是说这件事 1
不是吧，那么悲剧 1
你不会被枪击吧，你是怎么死的 1
这个真的是很厉害了！！！ 1
哈哈，你也在看？ 1
你是不是有病，你知道这么多人都死了，你还活着吗？ 1
哈哈哈，你这么厉害 1
这样的事情还真多，不过我们国家也有，但是不是每个国家都这样。 1
你说的很对。。。 1
这么恐怖的事 1
你这个不要脸的，还有这种事 1
哈哈哈哈，你是真的惨 1
不会的 1
你不会看新闻么？ 1
你说的是哪个国家？ 1
我觉得这个比这些人好多了，他们也不怕枪，只是不知道怎么回事 1
我不是黑人，你不要激动。 1
哈哈哈哈哈哈笑死我了 1
你不知我的心酸。 1
你是哪国？ 1
我也是这样看的！ 1
哈哈，你太逗了 1
哈哈哈，这是真实的故事 1
你的智力还真是让人捉急啊，你看不到别人的努力和成果，你就说人家不 1
我觉得你说的很对 1
这样的事情不是很正常吗？？？ 1
你这是什么理论，你说这些，你就不怕遭枪击？ 1
我看到的是，黑人受伤后 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！ 1
不是吧，怎么会这样？ 1
我不知道，但我知道，我们要做的事，是 1
我们不是黑人！ 1
你不是说你没被杀么 1
这个不是黑人 1
这是什么梗啊 1
不要以偏概全，不要以偏概全 1
不要这么恶毒好不，我们国家都这样，你这种人不会有好下场的 1
你说得很对 1
我看到你们这样，真替你们悲哀，你们是最不配做人！ 1
你这样说就不对了，你应该说，黑人遭枪击！你这样说就不对了，你应该 1
你是在黑人么 1
你这样的，你不能去，你不知道有多少人会这样 1
你说的是哪个国家呢？ 1
你这样说，很有可能是国内的黑人。 1
这个真的是，我们国内就是这样。 1
你说的很对啊 1
你这个不错 1
不是吧？？？？ 1
这种事情你怎么看 1
你的脑回路真是清奇…… 1
我们的国家不需要黑人 1
哈哈，我也看过这个电影 1
哈哈哈哈哈哈哈！ 1
不能说是恶意的，这是一个很严重的问题。 1
不会是真枪吧 1
我也觉得，好惨 1
你是说你自己？ 1
你这个不是黑人吧 1
我也想知道 1
我们的国家是美丽的！ 1
这种事不会发生在我们身上。 1
你是在黑他们么 1
你这么一说我觉得好吓人 1
你的意思是黑人被杀的时候你就不死了？你的意思是黑人被杀的时候你就 1
这个不能忍， 1
你这是什么心态。。。。 1
你不是在国外？ 1
你说得对。 1
哈哈！你是在逗我？ 1
我不知道你说什么？ 1
不知道是谁杀的，但是这事真的挺可怕的 1
哈哈，这个不错，我也想看 1
不是说美国是暴君吗？怎么变了？你说的话都是错误的？ 1
不是一般人 1
这种人太可恶了！ 1
我不知道你是不是这意思。 1
哈哈，我也看过这个新闻 1
这么恐怖，那么恐怖。 1
哈哈哈，这是什么梗 1
你这么一说我就觉得不太对劲了 1
你这个说法我很赞同 1
不是吧，这么严重啊。那你现在在哪里呢 1
你这种说法是什么意思 1
这是一件好事，我也想过，但是没有这么严格 1
哈哈。。 1
我也想看看 1
你是怎么做到的？ 1
这个真的很厉害了 1
我看的时候也这么想的 1
你不会是那种黑色皮肤的吧 1
我们不是一个时代的人！ 1
这个是什么情况，这么严重？ 1
我也是，我也是，我也要去看！！！！！ 1
你的思想不是在黑人身上？？ 1
你是不是傻。 1
你这个是不是有点过分了 1
你这么说，我们都很伤心。 1
我觉得是黑人 1
你不要这么黑人好不好 1
我也觉得。 1
我看过一个新闻，说的是，这个人身受枪击，还有一个被打的人，然后被 1
你不说我还没注意 1
你不知道的还多着呢 1
这个真不知道 1
你是不是也被枪击过 1
你是说我的命运？ 1
你这种人，不配出去。 1
这个是真的。 1
我觉得这种事还是少发生为好 1
我看了下，全部都是黑人，不过我不喜欢黑人。 1
不要这种事，我们不知道，但是我们知道你们会遭报应的 1
我觉得这个是黑人的事，你们的事不是黑人的，我们只是在黑人的地盘乱 1
不是这个原因 1
你是不是在搞笑？这么恐怖的事，你居然说是暴击 1
我看到的是，美国人身上的伤口 1
我们这儿也是 1
这种事情不要发生在我身上 1
我也是，这种事我也遇到过，不过我们是国家的国宝。 1
不是吧，那么恐怖 1
这个不好说，毕竟是个人隐私。 1
不要以为这件事就是真的 1
我觉得这是个很好的理由。 1
不要以为我不知道你们这些黑人 1
你这种人，就是不能有点人性。 1
不知道这些人是不是真的有病。 1
你说话不能太恶毒，这不是我说的，是我自己的看法。 1
你说的太对了 1
你是不是有什么误会？ 1
不知道你是不是这个意思 1
我觉得这是一个不错的结果。 1
你的思维太跳跃了 1
哈哈哈，我们都一起诅咒 1
你是说这个？ 1
这样的情况，这样不太好，这样不太好 1
我也看到了，好可怕 1
你不知道的是这些人都是黑人？ 1
这个真的很恐怖 1
不是吧，你这个不是真的吗？你是被人打的吗？ 1
我也是看了这部电影才看的，这电影我看到第五遍了 1
你说话太难听，你家祖上也是个黑奴，没有人愿意被你这种人骂的。你是 1
我们这边也是这样的，不过我们也有黑人 1
你说的这个不是美国 1
不会的，你们不是在国外，他们也不会被抓，你们在这边，不会遭到这些 1
我觉得也是这样 1
你这样做就没有任何意义 1
你不是说这是国内安全问题吗，怎么变黑了 1
你说的对，我也是这么想的 1
哈哈哈。这么恐怖啊。你们那边没有？ 1
你这是什么逻辑？ 1
这么恐怖啊 1
你的脑洞真大 1
不会这样的，你要是这样我就报警！！ 1
哈哈哈！！这个好 1
这是什么电视剧吗 1
你这个人真的很过分 1
我不是说黑人啊，只是说他们这些人 1
你的意思就是说我的国家没有暴力执法咯 1
我不是这个意思。。 1
你不是人 1
你这样说，我很难过。 1
不知道 1
你不要说出来好吗，我不想知道 1
这样的事情还是多注意点吧 1
我们国家的国防安全还是有保障的 1
这是一个好消息 1
这种事情不能乱说的 1
哈哈哈哈哈哈哈哈哈哈，你这样很危险啊！ 1
你这么说，你的良心不会痛吗？ 1
不是黑人，是国家的 1
哈哈哈哈哈哈，你真的是个人才。我们都是黑人 1
你不知道的事还多了去了 1
你这么一说，好像是这么回事儿…… 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈你好可爱 1
你说的是真的吗 1
这个真的很难 1
你不是在说你自己吗 1
我看到了 1
不是说了，黑人也有自己的选择吗 1
这样说来我还真有可能是暴民 1
哈哈哈，我也看到那句话了 1
你的意思是说，黑人的身上全是血？ 1
你这是在搞笑么？这都能上头条，你这种智商真是太让人捉急了， 1
我看你是要笑死我，我是说你是不是要被打成狗？ 1
你不知道的太多了 1
你这个比喻太有创意了 1
你这么说我觉得不是很对。 1
你这么说就是说不过去了，这么说的话我就不能说了 1
这种事情还要曝光，真的太过分了， 1
这样啊，我不知道 1
这个不能说啊 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我看到这句话笑死 1
这是真的么？ 1
你不会被杀吧 1
哈哈，你这个好可怕！ 1
哈，你好幽默。 1
这是哪里啊 1
你是说我吗 1
你这样说，我不太想跟你讨论这个问题，你说吧。 1
你这么说就不对了，我们国家的黑人都是白人，我们也不会黑到哪里去 1
这样说来，你还不够格当黑人 1
我觉得不会，我的意识就不会 1
这么厉害，我都不敢看 1
你说的是哪国呢？我们这边的暴击是在国外发生的 1
你是不是傻，我们国家没这么严重吧 1
你这个是什么逻辑啊， 1
哈哈哈哈哈哈哈哈哈哈你真是可爱了 1
我看你是疯了吧 1
你这是在说你？ 1
我们要去哪? 1
哈哈，这种人太多啦！！ 1
这样的事情发生在我身边，你会怎样做 1
你说的很好 1
哈哈哈哈哈哈你太逗了 1
哈哈哈哈哈哈哈哈哈哈哈你这个人怎么那么恶毒 1
你不是在国外吗。。。。。 1
哈哈，好搞笑 1
你这个不算 1
这么多枪，这是要逆天啊？ 1
你这个不是很明显嘛？ 1
你的意思是说你身上全是血？ 1
这么恐怖的嘛 1
你这是要干啥 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，这个厉害了 1
你不是在国外吗 1
你不会是在黑我吧。 1
我们要做到这样 1
不能这样说，这不是黑人的事情 1
我们的国家是最美的 1
你不会看新闻 1
你说的太对了，这个世界上有那么几位人物 1
这么多年来我也经历过这种事情 1
你说的是你自己吧 1
哈哈哈你好可爱 1
你这个不要命的人 1
你这是要闹哪样？ 1
我们不会被杀的。 1
这个好像不是吧，我看新闻上说的。。。。。 1
哈哈哈哈哈哈，这个好 1
你说的是你的身份吧？ 1
哈哈哈哈哈哈哈哈哈！ 1
哈哈哈哈哈哈笑死 1
这是一部好剧，值得推崇的电影！ 1
你这是要干嘛？ 1
你这是要干嘛 1
这个真的好 1
你是不是想笑死我 1
这样的事情发生在你身上你就会想到这样的情况。 1
你不知道有种东西叫做防身么 1
不知道你是不是真的有这个恶毒的心，不管你信不信，我都信 1
这个不好说，但是我觉得不会这么快 1
这个不是很明显，但是我觉得应该有很多人会被这些人带偏了，毕竟国人 1
你这个不错了 1
你这个不对 1
你是说这个电影还是电视？ 1
不是吧，这个太狠了吧！ 1
这个不好说吧 1
哈哈哈哈，这种事也不要乱讲 1
我也是这么认为的！ 1
这个好像不太科学 1
你的意思是黑人也被枪杀吗 1
这个真是太恐怖了 1
这个是真的，不信你百度 1
不要以为这些人都在黑我们，这样就没法看了。 1
哈哈哈哈哈哈哈哈，我笑了，你这是笑话我么 1
你这样说话不好吧 1
哈哈！！！ 1
你是说这个事情？你看了这个片子没有？ 1
我们的国际友好关系呢 1
你这样说，很容易让别人误会的。 1
这样啊，这种事也有可能是真的 1
这个是不是真的啊？ 1
这样的事发生，你怎么不报警，报警了你又能怎样，不报警你又能怎样 1
哈哈哈哈哈哈哈，笑死我了 1
哈哈哈，你这个笑死我了 1
你这么说，你的良心不痛吗？ 1
这么惨，你们都没有事吧 1
你是怎么做到的。？ 1
不是吧，那么恐怖。。。 1
你的心里只有钱没有我们 1
我也看到了。 1
哈哈哈，你好搞笑啊！！！ 1
你是不是有什么病啊 1
我们这边也是 1
我觉得这事不是你说的 1
这么惨？？ 1
这个真不知道。。。 1
不会的，不会的 1
不会这么惨吧，这么严重 1
你这个人怎么那么有才呢？ 1
你的脑子呢！ 1
你是在说你自己吗 1
你说的是你自己吗？ 1
不要这样子嘛 1
你是不是在做白日梦？？ 1
你这么说，我们都会心疼的。 1
你是不是想说这么多啊 1
你是哪国人 1
你是在说你自己吗? 1
你这样的人，不值得尊重 1
哈哈，你是说你自己？ 1
不要以为你是个人就可以以偏概全，你的国家和你的国民素质真是低的可 1
哈哈哈哈哈你好逗 1
这是什么电视剧 1
你这样说，我也就放心了。 1
这个不是真实的 1
你说的是那些不遵守交规的人？？ 1
你这是什么逻辑？？？ 1
你不知道这个案子？ 1
你是不是傻？ 1
这么严重啊，那么严重 1
这是什么电影啊 1
你这种人不值得交朋友 1
你说这个话的时候，你自己身上还带着枪吗？ 1
你不会是那个被枪杀的人吧？ 1
哈哈哈哈你好可爱 1
你的意思就是要我们杀他们 1
你是哪国的 1
你不要吓我啊 1
不是黑人，不是受害人 1
我不是这个意思 1
这个好笑吗？ 1
你这个人真是够了，还要黑人！！ 1
哈哈哈哈！！！ 1
哈哈哈哈哈哈哈哈哈哈哈哈笑死 1
你说得太对啦，黑人遭枪击！ 1
哈哈哈哈哈哈哈哈哈哈哈哈你太逗了 1
你说的是哪个？ 1
你是怎么知道这些的 1
哈哈，这是什么梗 1
不是说美国的爆击吗，我以为你是说黑人呢！ 1
不要太过分就不好了 1
这么多血？ 1
你这个是什么逻辑？ 1
这个不是重点，重点是我们不要去想那些不值得想的事情，我们的目的就 1
你说的是真的么 1
你是不是也有这样的感触啊 1
不能忍！ 1
不是吧？你在哪里啊？ 1
你不是一个人！ 1
你的意思是你也要遭枪击 1
你的心态很好 1
你不会看这个电视剧 1
哈哈哈哈哈这个厉害了 1
你这样说，不会被打吧？ 1
你是在说我？我是被枪击的那个人？ 1
这样的情况，这么严重，还有人去看啊！这个世界太可怕 1
你的智商堪忧啊 1
哈哈哈哈哈你这么一想我也觉得好笑 1
你是不是想说自己也是这么做的？ 1
不是吧，这么严重？ 1
我也是，看的时候心都碎了 1
这么厉害啊，你怎么知道的啊！ 1
这个是真实的吗？ 1
你是不是也是那个人？ 1
你说的这种情况，国家应该立法 1
你这是在搞笑 1
我不会再去的 1
这种事情还是别做了吧，万一有人报复呢？ 1
不是黑人，但是他是黑人 1
哈哈哈哈哈哈，笑死我了 1
你是不是在说我的名字。。。 1
你不是说你没有被枪击吗？ 1
我觉得是黑人被枪击 1
你这种智商，我不和你说了 1
这种新闻不要乱传 1
你这是要闹哪样？！ 1
我也看到了，这是什么情况，这么多枪？ 1
你的思维真奇特 1
我觉得也是。 1
你这样说话不怕遭报应啊 1
这种事情，不能乱讲。 1
哈哈，好惨 1
你这样的人，不配做美好 1
你这样说我们很担心 1
我们的祖先被杀 1
你这个人怎么这么恶毒呢？ 1
你是不是想说黑人被枪击了？ 1
你是怎么看到的？ 1
你说什么呢 1
这个不是美国 1
这是什么逻辑。。。 1
不是吧，怎么会呢？ 1
我们的目标是 1
我们要保护自己 1
哈哈哈，这是一个悲伤的故事。 1
你不是人？ 1
我不是黑的。 1
你的脑子有问题？ 1
你的思路不对啊！ 1
哈哈哈你这个太可笑了 1
你这种人真不配当律师 1
这样的事情还有人信？ 1
哈哈哈哈哈哈哈你这样的话我就要笑死了哈哈哈哈哈哈 1
这个不算黑人，但也不是全国 1
你是不是在说你自己 1
你的意思是，你是个人 1
不会是你吧？ 1
我不是黑人我是白人 1
你不知道的还多呢 1
这个不能忍 1
