topic: 美国时间2020年8月18日，乔·拜登正式成为2020年美国民主党总统候选人。8月19日，卡玛拉·哈里斯成为2020年美国民主党副总统候选人。
哈哈哈哈哈哈哈你太搞笑了 1
你好像很懂的样子 1
你们这么一说，我又想起来，我们这样算不算是在做梦呢，梦想是要有的 1
哈哈，我也是看完这句。。。 1
你这个名字，我都没法接 1
厉害了，厉害了 1
这就是你的理由 1
哈哈哈哈哈，这个厉害了 1
你这个比喻好 1
你这是在搞笑 1
你们都是大佬 1
哈哈哈哈哈哈哈哈哈哈哈哈，笑死 1
我们的时间不一样 1
哈哈哈哈哈哈哈哈，这是我们的荣幸 1
你是不是对这事情很了解啊 1
这就是命啊 1
这个厉害了。 1
你好，你好，我是新来的，请问您是？谢谢 1
你好，我是新来的，我想问问你是哪位 1
这是真的么 1
我是不是很机智 1
我是来看答案的 1
我们都是美好的。 1
哈哈哈哈，你好逗 1
你好，你的签名是怎么弄得啊 1
厉害了，这个厉害了 1
我不信这个！ 1
你好，我是新来的，请问是直接笑吗哈哈哈哈哈哈 1
我们一起去吧 1
厉害，这个厉害 1
你说这个，真心不错！ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，笑死我了 1
这是啥玩意儿 1
你这么说我也不知道该怎么办了 1
我不是说你，我说的这些人我不认识，我不是说你，我不是说你， 1
你这是想表达你自己？ 1
这么久了你还是没明白 1
你是真正的真正的 1
你是不是有点傻 1
我也看了，真的很好看 1
你是不是对这个问题有什么误解 1
你们都知道的事儿太多了 1
哈哈哈。。。。你这个厉害了 1
我不知道这是什么时候的消息，你是怎么知道的？ 1
你们真是太棒了 1
我是不是应该给你个赞 1
你好，你好。你是我的好朋友。 1
我们要去的地方，不只是他们所在的城市。 1
我也是这个时间 1
这个真的是一个大问题。 1
你是我的榜样 1
我们要去的地方 1
你是最棒的。。。。。 1
你们真是够了 1
哈哈，这个可以的 1
你们的想法都不是一样的 1
你是不是在说梦话 1
我也看成了这个，但是还真不知道你的想法 1
你好，请问您的名字是什么，可否告诉我 1
厉害了厉害了！ 1
这是个梗啊 1
哈哈哈哈哈哈哈哈！ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死 1
你说这个有意思吗？ 1
你这么说我就很慌 1
哈哈哈哈哈哈哈哈哈，这个梗我笑到肚子疼 1
厉害厉害，哈哈 1
你这么一说，我想起来我们的历史了。哈哈 1
你这么说，你的小伙伴们知道吗？ 1
这样的话，我们就能一起去看电影啦！ 1
你是真的皮。 1
你这么说我就不服气了 1
这个真是个好消息 1
哈哈，我看好你哦 1
你好像在说我 1
这么说来还挺有道理 1
我不是这个意思 1
你是不是对美国人有什么误解 1
这个真不是我说的，我们不能说出这些来 1
我们都知道这个消息了。 1
你这么一说，好像真是这样 1
哈哈，这个梗我笑了 1
你说得对！ 1
我们都是一个时间的。 1
我们的目标不一样 1
这样子啊，那你是不是要给我一个惊喜 1
我们都是美人儿 1
我也要加入 1
你这是在搞笑吗 1
你们这群坏蛋 1
这么久了你也该回来了 1
我是不是要说，我的祖先已经死了 1
这就是为什么我们都不知道的原因 1
你说的好有深度 1
这就是我想表达的。 1
这个好像有点厉害 1
你这个比喻，我也是服了 1
这就是我们要说的 1
我也要看！ 1
这样一想好像很有道理。 1
厉害了。。。 1
这个厉害了！！！！ 1
哈哈哈，你这个厉害 1
你这是要干什么？ 1
这样子，我就可以不用看到你了 1
哈哈，厉害 1
这是个好消息！ 1
我们要去看你了 1
你说的好对啊！！！！！！！！！！！！！ 1
我们都是一样的 1
我们的时间不同，我们是16号 1
哈哈哈哈哈，厉害 1
你说的好有道理我竟无言以对 1
我觉得这个好，我觉得好，我觉得 1
你们这些人真是闲得蛋疼 1
这样说来，我的第一次见识也是这样的 1
你是不是想说“我们是不是不能成为美国民主了” 1
你好，你是谁啊，这样都能找到我？ 1
你是不是想搞事情？ 1
你们都不知道我是谁吗？ 1
这么多，你一定是一个有智慧的人 1
你是在哪里看的 1
我觉得可以。 1
这样说来我的第一次见证 1
我也想知道 1
我不知道你说什么，你知道我说什么吗？ 1
你们真是一个个的，我们都是一群一群的 1
你这么说，不是很对吗？ 1
这是一条有故事的回复 1
哈哈，你好幽默 1
这样子 1
我也是！！ 1
哈，这个厉害了！ 1
我们一起努力吧，希望有个好成绩 1
哈哈哈哈哈哈哈哈哈哈哈哈哈，这是我听过最搞笑的笑话了 1
你这是在搞事情啊 1
你这么说，我觉得有点意义，但是我觉得不对啊 1
这个可能不大。 1
我们不是一个时间吗 1
这就厉害了哈哈 1
哈哈哈，厉害了。 1
这就是我们的目的，不是吗? 1
这是一个梗吗 1
这是个好问题 1
哈哈哈哈哈哈哈哈哈哈哈哈哈你太有才了 1
哈哈哈哈哈哈哈哈你真的是个笑话 1
这样的话，我可能不认识你了 1
哈哈，好吧！我承认我的想法比较简单了，但愿不会有人说我的想法复杂 1
这就很尴尬了，你是不是傻 1
你们是真爱啊 1
哈哈哈哈哈哈哈哈哈，厉害了 1
你们这群小家伙真可爱 1
你说的对。 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！！！ 1
这就是我们的未来，你们要怎么办? 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈，笑死我了 1
哈哈哈哈哈哈哈哈哈哈哈哈，你好棒棒哦 1
这么快就成为总统了？ 1
哈哈哈哈哈哈哈哈哈哈哈笑死 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！！！ 1
你好像有点厉害 1
我们的祖先 1
我是说你是谁？ 1
我不是这样想的，我是这样想的 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死了 1
我们一起来吧 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，你真的要笑死我了！哈哈哈哈哈哈 1
哈哈哈，我也是 1
你是在说你吗？ 1
哈哈哈哈哈哈哈哈，这么厉害的吗 1
你好，请问你的意思，是不是我理解错了，谢谢 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！笑死了 1
这个好像不错 1
哈哈，你这个好 1
你是不是想说这些？ 1
你说的很有道理，不过，不能同意更多。 1
这是一个悲伤的消息 1
我是不是要说你的头像很帅 1
你们这帮人太厉害了！ 1
你这个名字好像是个人名吧 1
这是什么梗啊，我没看懂 1
厉害了，这个时间我也是醉了 1
我觉着可行 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死了 1
你们这群人真的是，不知道有多少人在期待你们这群人的到来，真的是 1
厉害，厉害 1
你是真的搞笑吗 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了！ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，服气 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈，笑死我啦 1
你这个回复我看着好像是真的 1
哈哈哈哈哈，厉害了。 1
你这样说我很慌 1
哈哈。。。 1
这样说的话，我就不能接受了，我们的时间已经过去了 1
我们的友谊就此走到了尽头 1
你说的这么清楚，我还以为你在开玩笑呢。 1
你们的名字都写错了 1
你这么厉害，你怎么不去当总统？ 1
我也想说这个。 1
厉害！！！ 1
哈哈哈哈哈哈哈哈，你真逗 1
你好像在开玩笑。 1
你们是不是要搞事？ 1
哈哈哈哈哈哈哈哈，你这个笑死我了 1
你们都是骗子 1
这个真是太好了 1
你这个厉害了，你是我的好伙伴 1
你这样说，我很害怕！ 1
我们的目标 1
厉害了，哈哈 1
这个厉害厉害了 1
你是在搞笑吧 1
这个真是厉害了 1
我们要不要把你的名字打码？ 1
我们都懂，哈哈哈！ 1
你们真是一群戏精 1
这就是我想问的，我想说的。 1
我们要做的就是 1
你这个名字很有意思 1
你们是真爱 1
这是啥？？？ 1
你们真是好人 1
这个可以有，这是真的 1
这个真的很棒 1
我们一起等 1
你好，我是正式的 1
这么快！！！ 1
哈，好像很厉害 1
哈哈哈哈哈哈哈哈哈你真的很优秀 1
你们是不是都要搞事情？ 1
我也想知道。 1
这个厉害了哈哈哈哈哈哈哈 1
厉害了。。。。 1
这个可以有！！！ 1
这是真的？ 1
你是不是在逗我？ 1
我也想知道这个问题 1
这个好，我们可以开始讨论一下这件事 1
这样说来，还有点意思 1
厉害了，我也想当总统 1
我们一定要加入，我们会尽全力的 1
哈哈哈哈哈哈哈，笑死我了，哈哈哈哈 1
这就是我们所期待的 1
你好，我是正式的。 1
厉害了，这么快！！！！ 1
你说的是真的吗 1
你这是在搞事情 1
哈哈哈哈哈哈哈笑死我了哈哈哈哈哈哈哈哈哈哈哈哈哈哈 1
哈哈哈你真逗 1
这么快就成为总统了，厉害啊 1
哈哈哈，笑死了 1
哈哈哈哈哈，笑死了 1
这是个大戏，我们要开始了 1
你们的意思是我要被淘汰了 1
这是啥玩意？ 1
我是真的不想和你说话了 1
我觉得这个不错 1
这么多年来，他一直都在努力。 1
我是不是要说，我们的友谊到此为止了 1
哈哈哈，你赢了，我服 1
你这是在说什么? 1
我也是这个 1
你是我的榜样。 1
这是啥玩意儿，看不太懂， 1
哈哈哈哈哈哈哈哈笑死 1
你是在逗我吗 1
这是啥梗啊 1
你是真的很有才华 1
我们的目标是：不让他们失去我们的人才！ 1
我是来问的 1
哈哈哈哈哈哈哈哈你真逗 1
这是个什么情况，这是个什么情况， 1
你好，我的国家时间是2020年，我是一个有理想的年轻人，希望有朝一日能 1
哈哈哈哈哈哈哈哈哈哈哈哈笑死了 1
哈哈哈哈哈哈哈哈哈哈！！！ 1
我觉着你这个比较合适 1
你这么一说我就想起来了 1
你这是在搞笑吗？ 1
这是个什么梗？ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，笑死了 1
我是不是该说谢谢 1
哈哈。。。我就服你 1
哈哈哈哈哈哈，我服 1
你说的这么有道理我竟然不知道该怎样回 1
我不信，这个不可能。 1
哈哈，好吧，谢谢你 1
哈哈，这是个好消息 1
你是不是在说什么？ 1
我们都是美人，一直都是美人 1
你这是在说什么？ 1
你这么说，我就不开心了！ 1
厉害，你是真厉害 1
我也是这样认为的 1
这个真不知道，不是我说的 1
哈哈哈哈哈哈哈你真的是很皮了 1
我们都是美人 1
你这是在搞什么 1
厉害了，这是真的吗？ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死 1
你说的这些，我都没看到！ 1
这是什么鬼名字？ 1
你是真的有点搞笑啊 1
我也想问这个问题 1
哈哈哈哈哈哈哈这是个什么鬼 1
这个好！！ 1
我们要把你拉黑，这样就可以看不见你了 1
我们一起去看 1
哈哈哈哈哈哈哈哈，这个梗 1
我是不是要给个赞 1
哈哈哈哈哈这个厉害 1
我觉得你这么说，你会成为第一个美国民主的。 1
这么说，我也是了 1
你说的这个，我真的不知道，这个我知道，但我知道我不知道，我知道 1
哈哈，这样说，我觉得我们应该一起去看看。。。。。 1
哈哈哈哈哈哈哈哈哈哈哈笑出声 1
这个真的可以 1
我觉得你可以 1
你这个厉害了，我服了 1
这个真的是很难想象 1
这是什么意思 1
这么久了还是没有看到有人提出来，这么久了还是没有看到有人提出来， 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈你太可爱了 1
哈哈哈哈笑死我了 1
你们都很有想法 1
哈哈哈，我也在等 1
你是最聪明的，哈哈 1
这就尴尬了，哈哈哈 1
这是一个好消息啊 1
你这么说我都不知道该说啥了 1
你这个名字，让我不禁感觉是个有才华的人 1
我是不是要告诉你 1
你这是什么意思 1
哈哈哈，这个好 1
哈哈哈哈这个厉害了 1
这个好，我们都期待。 1
我们都是美好的人 1
你们这些愚蠢的人类！不要在这丢人现眼！ 1
这样的话我们就要等很久很长时间。。。 1
这就是你的不同 1
哈哈，好有才 1
哈哈哈哈哈哈哈你这是在搞事情！ 1
哈哈哈哈哈哈哈哈哈哈哈哈笑死我了 1
你这个名字很有意思，不知道是谁的名字，不过我觉得你这个名字好有意 1
这样啊 1
你好，这是个误会。 1
我是不是很有才华 1
你这样做不太好 1
这是什么意思啊 1
这样的话，我要是不去当上总统，我就是当个废物了。 1
我是说我是不是你的小伙伴 1
我觉得可以，哈哈哈哈哈哈哈哈哈 1
我们的友情也要走到尽头了 1
你是不是傻 1
你这么说，我就想知道，他是谁 1
这是个大戏 1
哈哈哈哈哈哈哈哈哈哈，厉害厉害 1
你是不是对我有什么意见 1
这个真的很厉害 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，你真可爱 1
你这是在哪儿看的？ 1
这就是我们要的，这就是我们要的 1
这个厉害了。。。 1
我也想问这个问题哈哈哈 1
这个好，我去看看。 1
哈哈哈哈哈哈哈哈哈哈哈，笑死 1
哈哈哈哈哈哈哈这个可以 1
你们这群愚蠢的人类啊！ 1
你说的这些是真的吗？ 1
我们的祖先都已经知道自己是谁了 1
哈哈哈哈哈哈哈哈哈哈！！！！！！！！！！！！！！！！！！！！！！ 1
这样子的话你就是最厉害的了 1
这个真的可以有！！ 1
哈哈哈哈这个好，我去瞅瞅 1
你这个名字我看不懂 1
你们都是我的朋友 1
哈哈哈哈哈这个厉害了 1
哈哈哈，你这个比喻很好。。。 1
厉害了，我看好你哦 1
哈哈哈哈哈哈哈哈哈哈哈哈哈，厉害死我了 1
哈哈哈哈哈哈哈哈哈哈笑死！ 1
你好，我是一名老戏骨，我们的合作方，希望我能成为新时代的新一代艺 1
这么久了还不知道，我也是醉了。 1
这么多年了还是一如既往的丑，不服 1
我觉得你说的很好啊 1
我觉得不会是真的 1
哈哈哈哈哈哈哈哈哈哈你好搞笑 1
哈哈，这是什么梗？ 1
哈哈哈哈，这个可以有 1
你这个回复有点搞笑。。。 1
厉害厉害。 1
哈哈哈，这么多 1
我觉得不错 1
哈哈哈哈哈哈哈哈哈哈笑疯了 1
这么快？！我以为要等到2020年呢。。。 1
我也是这么想的，我觉得他可以成为美洲最大的时代 1
哈哈哈哈哈哈笑岔气 1
你是在搞事情吗 1
厉害，我看错了 1
你这么一说还有一些不一样 1
我们要不要这么巧 1
这个好，不过还是不要太早了，不然就要被打脸了。 1
这个不错，不过我还是不明白为啥这个时候就不能说了 1
这就是我的理论 1
厉害！！！！ 1
你们是在搞事情是吗 1
这样一想，还是不要了吧，太可怕了…… 1
哈哈哈，笑岔气了 1
你说的很有道理。 1
哈哈哈哈哈哈哈哈哈，这个笑了 1
你们真棒！这些人是我的朋友 1
你这么厉害，你是怎么知道的? 1
我不知道这些，我只知道我是 1
你们都是好人，我要加油了。 1
哈哈哈哈，厉害 1
哈哈哈，我也看成了，哈哈哈 1
我是不是要去找个时间去你家 1
这就是命运的使者 1
我们不是一个人 1
你是在逗我吗，你在这里说什么 1
这么久，不知道有没有被选上 1
厉害了。这么多 1
你们这帮人，都不怕被打吗？ 1
我们都是一样的。 1
厉害了，这也能猜出来。。 1
你这样做是不是太过分了 1
这个厉害了，厉害了！！！！ 1
我们都知道，你在这儿干吗？ 1
我也要去看 1
你是我见过的最能干的，最有想法的 1
你说的这些都是真的吗？ 1
这就对了 1
哈哈哈哈哈哈哈哈笑死了 1
这个不是重点 1
这个可能性大吗？ 1
这样子的话，那么，这个世界将会变成一个很有趣的家族。 1
这样子。。。。。 1
这么说，那就等于说，美国时间是2016年的第一天。 1
你是不是想干人家，不是人家就不能当了吗？这样说话，我也是服了你 1
哈哈哈，厉害 1
你们这是怎么搞得 1
你们这群人真是搞笑，不是你们这群人搞笑，不是你们这群人搞笑 1
你这样说，你的良心不会痛么 1
这么快？你不是要当总统了？ 1
哈哈哈哈哈哈这个梗好 1
你是最棒的，加油 1
哈哈，厉害啦 1
你是我们的大使 1
你们都不要这么厉害好么？ 1
我们一起去看吧？ 1
这样啊，好吧，谢谢啦 1
我是第一个 1
你们这群人啊！ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝 1
你是我见过最能扯的了，哈哈哈哈哈哈 1
哈哈哈哈哈你这个厉害了 1
哈哈哈哈，你这么一说好像真的是，不过我也是这么想的 1
哈哈哈你真逗！ 1
我们都是美人，一样的命运，我们都是美人，一样的命运。 1
这就很尴尬了 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死了哈哈哈哈哈哈哈 1
这是个好消息啊 1
这个可以有，这么快 1
这个不是真的 1
我是说真的，你不要乱说，你是我的人 1
这样说来，我还是不知道是不是真的。 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，笑死 1
你是真正的勇士！ 1
你这是要搞事情吗？ 1
你说的对，我们的时间都对不上 1
这么快？！ 1
我们都是一家人 1
我们都是最后一个知道的 1
这是一个神奇的故事 1
你是在逗我么。 1
你们都是骗子！ 1
你是我最好的朋友。 1
哈哈哈哈哈哈哈哈哈哈哈哈，你这个厉害了 1
你这么一说，好像是哦 1
这么快就有新的预言了？！！！ 1
这个好！！！ 1
这是个大新闻 1
我也看到这个了！ 1
哈哈！ 1
哈哈哈哈哈哈哈哈你这一说还真有点像 1
我们不知道 1
哈哈哈哈你这个厉害 1
我们要看的是这个 1
哈哈哈哈哈哈，笑死了 1
哈哈哈，这么快 1
我是说，你是不是有点傻 1
这么说来，我还是很期待的。 1
你们真是好厉害 1
哈哈哈哈哈哈哈哈哈哈哈笑死了 1
哈哈哈，你真逗！ 1
哈哈，你说的对 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑岔 1
哈哈，你这是什么意思啊！ 1
厉害了！！！！！ 1
哈哈，好的，谢谢 1
哈哈哈，这个厉害了。 1
你好，请问您的资料是哪里来的，谢谢 1
你好，谢谢你的回复。 1
你是我们的国际媒体，我们要向你学习。 1
你这么说我都觉得不好意思了 1
哈哈哈，这个梗我笑了好久 1
这样说，我们要被淘汰了。 1
厉害了，我的国际友人 1
厉害厉害厉害厉害 1
你们真有意思 1
我们要把你的名字改掉。 1
你说什么都对 1
我也是这个问题 1
这个可以有！！！！！！ 1
我们的目标是：不让世界失望 1
你是不是在搞笑？ 1
你是不是在搞笑啊？ 1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死 1
哈哈，这是什么梗 1
这是个什么套路 1
你这个人怎么这么有意思 1
你说这个，我就不知道了 1
哈哈哈哈哈哈哈哈哈，笑死了 1
你这么一说我就明白了，原来你是这么想的啊 1
哈哈哈！！！这么快就当总统了？！！！ 1
你是不是对美帝时间有什么误解啊 1
我们都在等待这个 1
你这样说就不对了，我们不会有结果。但是，如果你们想要有结果 1
你是不是在说我？ 1
我是说，如果不是，我不会这么说的 1
你们的名字很有意思 1
这么厉害的吗 1
哈哈哈。你这个厉害了 1
你是我的小苹果 1
哈哈哈哈哈哈哈哈，你好烦，你好烦 1
哈哈哈哈哈哈哈哈笑死我了 1
你这样说我就不乐意了 1
我不知道，但是你知道吗？ 1
你们都不知道我在说什么 1
哈哈哈哈哈哈，我笑出声了 1
哈？ 1
哈哈哈哈哈哈，你太逗了 1
你们都好有才 1
这样子啊！ 1
我们一样 1
你说的这个时间，真的有点久，你说的这个时间，真的有点久， 1
哈哈哈哈哈哈哈，我服 1
你们这群人啊 1
厉害了，我的天 1
你好！谢谢你！ 1
这样的话，我们可以在一起吗？我们在一起吧！ 1
哈哈哈，这么厉害啊~ ~ ~ 1
你这个人真可爱 1
哈哈哈哈哈哈哈，这个好 1
哈哈哈，我也觉得 1
你这样说我就不开心了 1
我们的祖先是美国第一个 1
你是最棒的！我爱你 1
我不认为这个是真的 1
哈哈哈哈哈哈哈哈哈哈！ 1
我们不是一个国家的吗？ 1
